emoji_name,count,emoji_url
catbox,-1,https://emoji.slack-edge.com/T0XNJNF35/catbox/4a7b22014a7c27ef.png
catjam,7,https://emoji.slack-edge.com/T0XNJNF35/catjam/aff2fbb3b9b496a7.gif
celebrate,8,https://emoji.slack-edge.com/T0XNJNF35/celebrate/bb9c268ce8f4d644.gif
chad-yes,-1,https://emoji.slack-edge.com/T0XNJNF35/chad-yes/1983fed6e244f349.png
chadwalk,-1,https://emoji.slack-edge.com/T0XNJNF35/chadwalk/ed7d1711094a224e.png
champloo,-1,https://emoji.slack-edge.com/T0XNJNF35/champloo/674e0ab8d2f4a67d.png
cheers,2,https://emoji.slack-edge.com/T0XNJNF35/cheers/f57b7f040faeba85.gif
cheese-polarbear,-1,https://emoji.slack-edge.com/T0XNJNF35/cheese-polarbear/a5fdbd6323030582.gif
chef-brb,-1,https://emoji.slack-edge.com/T0XNJNF35/chef-brb/258b450bb599ea45.png
chef-finger,2,https://emoji.slack-edge.com/T0XNJNF35/chef-finger/258b450bb599ea45.png
chefs-kiss,1,https://emoji.slack-edge.com/T0XNJNF35/chefs-kiss/5c449649bbb7e3fc.gif
chefskiss,-1,https://emoji.slack-edge.com/T0XNJNF35/chefskiss/2df3863c0584f245.gif
chrishansen,-1,https://emoji.slack-edge.com/T0XNJNF35/chrishansen/0ef2a35f0ea74941.png
christ-on-a-bike,12,https://emoji.slack-edge.com/T0XNJNF35/christ-on-a-bike/dc2116505eec7ebe.png
cinnamonroll,-1,https://emoji.slack-edge.com/T0XNJNF35/cinnamonroll/957cc405efa2a8f4.png
claps,7,https://emoji.slack-edge.com/T0XNJNF35/claps/e7dd5ca93f6ce156.gif
clickbait,-1,https://emoji.slack-edge.com/T0XNJNF35/clickbait/a84290b29d30852f.gif
communist,-1,https://emoji.slack-edge.com/T0XNJNF35/communist/d76ceebb10848ad5.gif
commuting,-1,https://emoji.slack-edge.com/T0XNJNF35/commuting/5244cdb546369723.png
conference-call,-1,https://emoji.slack-edge.com/T0XNJNF35/conference-call/258b450bb599ea45.png
confettigif,4,https://emoji.slack-edge.com/T0XNJNF35/confettigif/2674aec32033d4cf.gif
confused-dog,3,https://emoji.slack-edge.com/T0XNJNF35/confused-dog/a90f6e6fa3b41ccf.gif
cool-dog,32,https://emoji.slack-edge.com/T0XNJNF35/cool-dog/a56243dc98247871.gif
coolblob,2,https://emoji.slack-edge.com/T0XNJNF35/coolblob/2674aec32033d4cf.gif
coolfingergun,2,https://emoji.slack-edge.com/T0XNJNF35/coolfingergun/aa2214663708b148.png
coolstorybob,1,https://emoji.slack-edge.com/T0XNJNF35/coolstorybob/10b23d520a956312.png
copium,4,https://emoji.slack-edge.com/T0XNJNF35/copium/dfed96e583ad7cfb.png
coronas,-1,https://emoji.slack-edge.com/T0XNJNF35/coronas/78c495793d0bfff7.png
crazy,-1,https://emoji.slack-edge.com/T0XNJNF35/crazy/3fd7644f08334f6a.gif
cthulu,-1,https://emoji.slack-edge.com/T0XNJNF35/cthulu/e17a8d5dd17c805e.png
curses,-1,https://emoji.slack-edge.com/T0XNJNF35/curses/68df91b3a9cfca20.gif
curtsy,9,https://emoji.slack-edge.com/T0XNJNF35/curtsy/b9c6bdca6ed57f93.gif
d20,-1,https://emoji.slack-edge.com/T0XNJNF35/d20/b440583c722ff49e.png
dance,95,https://emoji.slack-edge.com/T0XNJNF35/dance/e557be75e6de3777.gif
dancing-dog,9,https://emoji.slack-edge.com/T0XNJNF35/dancing-dog/1261250fb37b3b07.gif
deletethis,-1,https://emoji.slack-edge.com/T0XNJNF35/deletethis/2d4b86fbfa007b49.png
demello,-1,https://emoji.slack-edge.com/T0XNJNF35/demello/31ede334504a01c5.png
denethor,-1,https://emoji.slack-edge.com/T0XNJNF35/denethor/4de0fb0f9928cfb8.png
diabeetus,-1,https://emoji.slack-edge.com/T0XNJNF35/diabeetus/600717d53980c7ae.jpg
dinkdonk,-1,https://emoji.slack-edge.com/T0XNJNF35/dinkdonk/c53089bd77d4ed0b.gif
ditto-dance,-1,https://emoji.slack-edge.com/T0XNJNF35/ditto-dance/21a20410f7818ab9.gif
dna2,-1,https://emoji.slack-edge.com/T0XNJNF35/dna2/964fd1268f55ddf7.png
do-it,-1,https://emoji.slack-edge.com/T0XNJNF35/do-it/171152c77f6672e3.gif
doge,1,https://emoji.slack-edge.com/T0XNJNF35/doge/37b6d5883e9425cd.png
doge-fractal,1,https://emoji.slack-edge.com/T0XNJNF35/doge-fractal/ee45d1e343145445.gif
doggo-love,-1,https://emoji.slack-edge.com/T0XNJNF35/doggo-love/7832d73012ec337b.png
doit,-1,https://emoji.slack-edge.com/T0XNJNF35/doit/a84290b29d30852f.gif
done,-1,https://emoji.slack-edge.com/T0XNJNF35/done/2fccd72122a14925.png
doom,-1,https://emoji.slack-edge.com/T0XNJNF35/doom/9b34d795b6268a83.png
dope,-1,https://emoji.slack-edge.com/T0XNJNF35/dope/3099a8f3cd744dbf.gif
double-take,-1,https://emoji.slack-edge.com/T0XNJNF35/huh/63d4a4682107862f.gif
drake-no,-1,https://emoji.slack-edge.com/T0XNJNF35/drake-no/4d94cef2371a7504.png
drake-yes,-1,https://emoji.slack-edge.com/T0XNJNF35/drake-yes/09e2de182c0f27e4.png
drunkron,-1,https://emoji.slack-edge.com/T0XNJNF35/drunkron/9bd83d4eb2eb9632.png
dr_evil,-1,https://emoji.slack-edge.com/T0XNJNF35/dr_evil/c8b37b53aeb68aee.png
dude,-1,https://emoji.slack-edge.com/T0XNJNF35/dude/3061b1e295fdcae5.png
dumb,-1,https://emoji.slack-edge.com/T0XNJNF35/dumb/18d40e98092ca543.png
eli5,1,https://emoji.slack-edge.com/T0XNJNF35/eli5/5f25fa679f955408.png
elmo-no,1,https://emoji.slack-edge.com/T0XNJNF35/elmo-no/58969d84b06539ec.gif
elmo-nod,1,https://emoji.slack-edge.com/T0XNJNF35/elmo-nod/552a51903de164c3.gif
elon,-1,https://emoji.slack-edge.com/T0XNJNF35/elon/54a0a172068e606e.png
escalated,-1,https://emoji.slack-edge.com/T0XNJNF35/escalated/3099a8f3cd744dbf.png
etre-jam,-1,https://emoji.slack-edge.com/T0XNJNF35/etre-jam/edd4d6cc72837c01.gif
excellent-raccoon,2,https://emoji.slack-edge.com/T0XNJNF35/excellent-raccoon/600035c14c1f81d8.gif
